review_id,listing_id,text,createdAt,month
1597293450610456562,432534628,Fantastic . Love this place . My second visit,2026-01-12 20:16:57+00:00,1
1594390857183137118,432534628,Joshua’s place was beautiful would def visit again hot tub game room 10/10 thank you again,2026-01-08 20:10:01+00:00,1
1591545631083997187,432534628,"We had an absolutely amazing stay at this modern chalet. From the moment we arrived, everything exceeded our expectations. The home was spotless, beautifully designed, and incredibly comfortable. The modern furnishings, high-quality bedding, carpets, and thoughtful details throughout made it feel both luxurious and welcoming.<br/>One of the first things that truly stood out was the personalized welcome—we were greeted with a custom-made card featuring a picture of the chalet, welcoming our family. That thoughtful touch immediately made us feel special and at home.<br/>The jacuzzi was a highlight, and the indoor fireplace added such a cozy, magical touch—especially in the evenings. The house is filled with natural sunlight throughout the day, making every morning feel beautiful.<br/>Our kids were absolutely thrilled. The basement and gym area were packed with entertainment, including multiple TVs, darts, board games, and so many games that kept them engaged the entire stay. Our four-year-old kep",2026-01-04 21:57:03+00:00,1
1585703953829927082,432534628,"Josh and Letizia built and curated a beautiful lake house with so much care and precision-  down to the last detail it’s almost too good to be true! We were a family of 5 and enjoyed every minute of our stay and would have stayed for longer if we could!  The rooms are beautiful, the convenience of the house and its amenities are top notch - we made dinners, lit the fireplace, played in the game room, enjoyed the outdoor snow, and slept super well.  I have been on Airbnb for over a decade and this is one those places you will never forget.  We will be back!",2025-12-27 20:30:41+00:00,12
1582833578415276814,432534628,"We had such a wonderful stay at this lake house! The home was spotless, beautifully maintained, and truly had everything we needed—from a fully stocked kitchen to thoughtful little details that made it feel like home. The setting was peaceful and perfect for relaxing by the lake.<br/>What really made this stay exceptional were the hosts. They were incredibly kind, welcoming, and responsive, making sure we were comfortable from start to finish. You can tell they genuinely care about their guests.<br/>We couldn’t have asked for a better experience and would absolutely stay here again. Highly recommend to anyone looking for a cozy, well-equipped cabin with amazing hosts!",2025-12-23 21:27:46+00:00,12
1577725168721575257,432534628,"This place was literally a gem. <br/>Joshua and Letizia were super responsive and helpful in everything. Instructions were clear and concise, and their guide was super comprehensive. Whenever I had questions, they were very responsive I did not have to wait. <br/>My goodness the house was so beautiful I cannot describe how nice it was with my words. The moment we stepped into the house our jaws dropped immediately. Super clean (which is our top priority when selecting where to stay), super nice, and everything in the house were operating perfectly. Literally everything was a highlight in this place. <br/>We did not get to enjoy the neighborhood this time but there were many shops and restaurants nearby as well so if you need something you do not have to travel long to get them. Our next destination was New York City and it was less than two hours away which was great for our overall trip. We will definitely revisit.  Highly highly highly recommend!. Thank you Joshua and Letizia!",2025-12-16 20:18:16+00:00,12
1576257211796981182,432534628,My family and I had so much fun that no one wanted to leave and they are already planning the next visit!<br/>There were games to keep adults and kids (6-15yo) entertained and the house is beautiful.,2025-12-14 19:41:42+00:00,12
1572629699163522372,432534628,This was a terrific stay!! We were thrilled with Joshua’s personalization for our specific birthday. The cabin was cozy and a beautiful vibe. Incredible hosts! Will come again!,2025-12-09 19:34:29+00:00,12
1571251086444955557,432534628,"We had an amazing time at Joshua and Letizia's wonderful place. Everything was exactly as we had hoped, and we look forward to returning in the future. Thank you again!",2025-12-07 21:55:25+00:00,12
1569011721206544313,432534628,A beautiful home with fantastic things to do even in the comfort of the living room. We couldn't believe how amazing of a time we had.,2025-12-04 19:46:12+00:00,12
1565437040713884726,432534628,"My stay at this A-frame cabin in West Milford was absolutely incredible. From the moment I arrived, the home had such a warm, detailed, and welcoming feel. You can tell the hosts put genuine care into every corner of the space — from the decor to the layout to the little touches that make it feel like a true home away from home.<br/>The lake views alone are worth the visit. Waking up to that peaceful scenery every morning felt like hitting a reset button. Whether you’re enjoying a quiet cup of coffee or winding down in the evening, the view is something special.<br/>What really stood out, though, was the host’s customer service. They were attentive, responsive, and genuinely kind — the type of hospitality that goes above and beyond. Any question I had was answered right away, and they made sure the stay was seamless from start to finish.<br/>If you’re looking for a relaxing escape with comfort, charm, and hosts who truly care, this A-frame is the perfect spot. I’ll definitely be coming back.",2025-11-29 21:23:57+00:00,11
1561096116838815368,432534628,We had a wonderful stay the place was perfect for a casual fall weekend. We could tell that the hosts wanted us to have a great stay providing us with so many details. The place was beautiful and everything was so clean! Everything was very easy to use and there were so many games and activities to do around the house. They even left us s’mores materials for the fire pit! Was truly the perfect weekend getaway! Can’t wait to go back!,2025-11-23 21:39:19+00:00,11
1558862097901673386,432534628,I actually booked this place for a photo shoot for my real estate business . I chose the place based on the listing photos because it was so well design and furnished. When I actually arrived the attention to detail in the craftsmanship was some of the best I’ve ever seen. It’s a place I immediately felt at home at… and actually wished my own home was more like this one. No detail was spared. Super impressive property and I got some great photos.,2025-11-20 19:40:43+00:00,11
1558180671624981301,432534628,"We had an amazing time! My wife and I spent our honeymoon here for a quick getaway, and it was perfect. The home was very cozy, spotless, and exactly like the photos. The host were incredibly responsive and attentive throughout our stay, which made everything even better. Highly recommended! We hope to come back one day to enjoy the lake. 🌿✨",2025-11-19 21:06:50+00:00,11
1551607103603401909,432534628,"I loved my stay at paddle point . I went alone to get uninterrupted  work done . Everything was perfect: it was beautifully decorated, comfortable bed and furniture, well equipped kitchen, great grill, and a view of the lake from almost every room on the first floor. I Even got to see sunrise  right through the bedroom window . <br/>I was able to sit and work both from the livingroom and the deck with uninterrupted  views of the lake and trees . Although I was not expecting the house to be located in a neighborhood, once I settled into the house, I wasn't bothered by their presence .<br/>And Joshua responded quickly to all my questions or need for assistance.<br/>I'm going back in January and looking forward to it.",2025-11-10 19:26:20+00:00,11
